ID	タイトル	タイトルよみ	版	シリーズタイトル	責任表示	出版者	出版地（国名コード）	出版年月日等	出版年（W3CDTF）	タイトル（掲載誌）	授与機関名・学位	刊行巻次	大きさ、容量等	縮尺	分類（NDC）	分類（NDLC）	件名標目	ジャンル・形式用語	請求記号	書誌ID（NDLBibID）	識別子（URI）	DOI	国立国会図書館永続的識別子	規格・リポート番号	ISBN	ISSN、ISSN-L	ISMN（国際標準楽譜番号）	発売番号	並列タイトル	受理日（W3CDTF）	目次	注記	本文の言語コード（ISO639-2）	記録形式	掲載巻	掲載号	掲載通号	一次資料へのリンクURL	原資料（URI）	関連情報（URI）	異版（URI）	掲載誌（URI）	目次・記事（URI）	別の記録形式である（URI）	別の記録形式を持つ（URI）	改題前（NDLJP）	改題後（NDLJP）	収集根拠	所蔵機関	連携機関・データベース	アクセスURL	資料種別	資料形態
R100000039-I11499077	屋久島の高山性ミニチュア植物ヒメコナスビの小型化形質に関わる遺伝学的解析	屋久島の高山性ミニチュア植物ヒメコナスビの小型化形質に関わる遺伝学的解析			掛澤, 明弘	掛澤, 明弘		2020	2020		京都大学 , 博士(理学)												info:ndljp/pid/11499077							2020-06-08T17:12:21+09:00			jpn															博士論文（送信）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/11499077	博士論文	デジタル
R100000002-I025029962	屋久島に分布する火山灰由来土壌の生成論的研究	ヤクシマ ニ ブンプスル カザンバイ ユライ ドジョウ ノ セイセイロンテキ ケンキュウ			江口哲也 [著]	[江口哲也]	JP	[2012]	2012		筑波大学 , 博士(農学)		1冊			UT51			UT51-2013-L2	025029962	025029962											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I025029962	博士論文	紙
R100000002-I023381291	離島開発と資源の階層性 : 屋久島の森と海と節	リトウ カイハツ ト シゲン ノ カイソウセイ : ヤクシマ ノ モリ ト ウミ ト フシ			王智弘 [著]	[王智弘]	JP	[2010]	2010		東京大学 , 博士 (国際協力学)		1冊			UT51			UT51-2011-M805	023381291	023381291								A historical analysis on the multi-layered resources system of Yaku Island : a prospect for sustainable development through dried fish production			博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I023381291	博士論文	紙
R100000002-I025012066	屋久島沿岸域に分布する岩盤割れ目内物質の充填環境及び形成年代	ヤクシマ エンガンイキ ニ ブンプスル ガンバン ワレメナイ ブッシツ ノ ジュウテン カンキョウ オヨビ ケイセイ ネンダイ			松下智昭 [著]	[松下智昭]	JP	[2013]	2013		埼玉大学 , 博士(学術)		1冊			UT51			UT51-2013-K194	025012066	025012066 , BB15106571											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I025012066	博士論文	紙
R100000002-I000010879368	鹿児島県屋久島産高等植物の矮小化に関する細胞分類学的研究	カゴシマケン ヤクシマサン コウトウ ショクブツ ノ ワイショウカ ニ カンスル サイボウ ブンルイガクテキ ケンキュウ			山本伸子 [著]	[山本伸子]	JP	[2010]	2010		岡山理科大学 , 博士 (学術)		1冊			UT51			UT51-2010-A791	000010879368	000010879368											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000010879368	博士論文	紙
R100000002-I000008493342	屋久島,沖縄,ジャワ島における木生シダ類(ヘゴ属)の比較生態学的研究	ヤクシマ オキナワ ジャワトウ ニ オケル モクセイ シダルイ ヘゴゾク ノ ヒカク セイタイガクテキ ケンキュウ			永野徹 [著]	[永野徹]	JP	[2006]	2006		鹿児島大学 , 博士 (理学)		1冊			UT51			UT51-2007-B566	000008493342	000008493342								Comparative ecology of tree-ferns (Cyathea spp.) on Yakushima, Okinawa and Java Islands			博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000008493342	博士論文	紙
R100000002-I000011260424	鹿児島県屋久島および千葉県館山湾における潮間帯岩礁域に生息する魚類の生態学的研究	カゴシマケン ヤクシマ オヨビ チバケン タテヤマワン ニ オケル チョウカンタイ ガンショウイキ ニ セイソクスル ギョルイ ノ セイタイガクテキ ケンキュウ			村瀬敦宣 [著]	[村瀬敦宣]	JP	[2011]	2011		東京海洋大学 , 博士 (海洋科学)		1冊			UT51			UT51-2011-E936	000011260424	000011260424											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000011260424	博士論文	紙
R100000002-I023439696	屋久島における酸素同位体比の内陸効果・標高効果の推定と花崗岩地帯の地下水流動の推定	ヤクシマ ニ オケル サンソ ドウイタイヒ ノ ナイリク コウカ ヒョウコウ コウカ ノ スイテイ ト カコウガン チタイ ノ チカスイ リュウドウ ノ スイテイ			横田恭平 [著]	[横田恭平]	JP	[2010]	2010		和歌山大学 , 博士 (工学)		1冊			UT51			UT51-2011-P796	023439696	023439696 , BB07185619								Effects of distance and altitude for oxygen isotope and estimating groundwater flow of granite in the Yakushima Island			博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I023439696	博士論文	紙
R100000002-I000007479844	mtDNA変異の地理的分布からみた屋久島ニホンザルの完新世の歴史	mtDNA ヘンイ ノ チリテキ ブンプ カラ ミタ ヤクシマ ニホンザル ノ カンシンセイ ノ レキシ			早石周平 [著]	[早石周平]	JP	[2004]	2004		京都大学 , 博士 (理学)		1冊			UT51			UT51-2004-G501	000007479844	000007479844											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000007479844	博士論文	紙
R100000002-I000008443891	屋久島の山岳空間における自然保護と観光利用の展開に伴う住民摩擦に関する研究	ヤクシマ ノ サンガク クウカン ニ オケル シゼン ホゴ ト カンコウ リヨウ ノ テンカイ ニ トモナウ ジュウミン マサツ ニ カンスル ケンキュウ			井関崇博 [著]	[井関崇博]	JP	[2006]	2006		東京工業大学 , 博士 (学術)		1冊			UT51			UT51-2006-R568	000008443891	000008443891											博士論文	jpn																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000008443891	博士論文	紙
