no_row,mountain,furigana,attitude,division
1,宮之浦岳,みやのうらだけ,1936m,屋久町・上屋久町
2,永田岳,ながただけ,1886m,上屋久町
3,栗生岳,くりおたけ,1867m,上屋久町・屋久町
4,翁岳,おきなだけ,1860m,上屋久町・屋久町
5,安房岳,あんぼうだけ,1847m,上屋久町・屋久町
6,黒味岳,くろみだけ,1831m,上屋久町・屋久町
7,投石岳,なげしだけ,1830m,上屋久町・屋久町
8,ネマチ,ねまち,1814m,上屋久町
9,中岳(くじゅう連山),なかだけ（くじゅうれんざん）,1791m,久住町
10,久住山,くじゅうさん,1787m,久住町
,,,,
11,大船山,たいせんざん,1786m,久住町
12,稲星山,いなぼしやま,1774m,久住町
13,星生山,ほっしょうざん,1762m,九重町・久住町
14,祖母山,そぼさん,1756m,高千穂町・緒方町・竹田市
15,三俣山,みまたやま,1745m,九重町・久住町
16,国見岳,くにみだけ,1739m,泉村・椎葉村
17,ジンネム高盤岳,じんねむこうばんだけ,1734m,屋久町
18,市房山,いちふさやま,1721m,水上村・椎葉村・西米良村
19,高盤岳,こうばんだけ,1711m,屋久町
20,障子岳,しょうじだけ,1703m,高千穂町・緒方町
,,,,
21,韓国岳,からくにだけ,1700m,小林市・霧島町・牧園町
22,烏帽子岳,えぼしだけ,1692m,泉村・椎葉村
23,向坂山,むこうざかやま,1685m,清和村・五ヶ瀬町・椎葉村
24,中島の頭,なかしまのかしら,1678m,屋久町
25,五勇山,ごゆうざん,1662m,泉村・椎葉村
26,扇山,おうぎやま,1662m,五ヶ瀬町・椎葉村
27,白岩山,しらいわやま,1647m,五ヶ瀬町・椎葉村
28,上福根山,かみふくねやま,1645m,泉村
29,親父山,おやじやま,1644m,高千穂町
30,大崩山　2,おおくえやま,1644m,北方町・北川町
,,,,
31,本谷山,ほんたにさん,1643m,緒方町・高千穂町・日之影町
32,平治岳,ひいじだけ,1643m,久住町
33,鈴岳,すずだけ,1638m,屋久町
34,古祖母山,ふるそぼさん,1633m,高千穂町・緒方町
35,烏帽子岳,えぼしだけ,1614m,屋久町
36,江代山（津野岳）,えしろやま（つのだけ）,1607m,水上村・椎葉村
37,傾山,かたむきやま,1605m,緒方町・三重町・宇目町
38,高岳(阿蘇山),たかだけ（あそさん）,1592m,一の宮町・高森町
39,石塚山,いしずかやま,1589m,上屋久町・屋久町
40,高塚山（黒岳）,たかつかやま,1587m,久住町
,,,,
41,由布岳（豊後富士）,ゆふだけ（ぶんごふじ）,1583m,湯布院町
42,黒岳,くろだけ,1578m,高千穂町
43,三方山,さんぽうざん,1578m,矢部町・清和村・椎葉村
44,高千穂峰,たかちほみね,1574m,高原町・都城市
45,五葉岳,ごようだけ,1570m,日之影町・北川町
46,高岳,たかだけ,1564m,矢部町・椎葉村
47,山犬切,やまいんぎり,1562m,泉村・水上村
48,障子岳,しょうじだけ,1549m,上屋久町
49,鹿納山,かのうやま,1548m,日之影町・北川町
50,石堂山,いしどうやま,1547m,西米良村・椎葉村
,,,,
51,時雨岳,しぐれだけ,1546m,椎葉村
52,日隠山,ひがくれやま,1544m,日之影町
53,小川岳,おがわだけ,1542m,清和村・五ヶ瀬村
54,笠松山,かさまつやま,1522m,緒方町・日之影町
55,高塚山,たかつかやま,1508m,五木村・水上村
56,中岳(阿蘇山),なかだけ（あそさん）,1506m,一の宮町・阿蘇町・高森町・白水村
57,黒岩山,くろいわさん,1503m,九重町
58,小高塚岳,こたかつかだけ,1501m,上屋久町
59,涌蓋山,わいたざん,1500m,九重町・小国町
60,天主山,てんしゅざん,1494m,矢部町
,,,,
61,太忠岳,たちゅうだけ,1497m,屋久町
62,鬼の目山,おにのめやま,1491m,北方町・北川町
63,銚子笠,ちょうしがさ,1489m,水上村・椎葉村
64,頭布岳,とっきんだけ,1488m,日之影町
65,七五岳,しちごだけ,1488m,屋久町
66,平成新山,へいせいしんざん,1486m,小浜町・島原市
67,三方岳,さんぽうだけ,1479m,椎葉村
68,三尖,みつぎり,1474m,高千穂町
69,京丈山,きょうじょうさん,1472m,砥用町・矢部町・泉村
70,黒岳,くろだけ,1455m,諸塚村・椎葉村
,,,,
71,蕨野山,わらびのやま,1454m,泉村・五木村
72,茶臼山,ちゃうすやま,1446m,泉村
73,木浦山,きうらやま,1441m,椎葉村・五ヶ瀬町
74,尾崎山,おさきやま,1438m,椎葉村
75,積岩山,こづみいわやま,1438m,泉村・五木村
76,馬口岳,ばくちだけ,1435m,椎葉村
77,樋口山,ひくちやま,1434m,西都市・椎葉村
78,根子岳（阿蘇山）,ねこだけ（あそさん）,1433m,一の宮町・高森町
79,獅子戸岳,ししこだけ,1429m,小林市・霧島町
80,猟師山,りょうしさん,1423m,九重町
,,,,
81,新燃岳,しんもえだけ,1421m,小林市・霧島町
82,だき山,だきやま,1420m,北方町
83,御鉢,おはち,1420m,霧島町・小林市・高原町・都城市
84,白髪岳,しらがだけ,1417m,あさぎり町
85,割石岳,わりいしだけ,1410m,屋久町
86,坪切岳,つぼきりだけ,1409m,上屋久町
87,桑原山（八本木）,くわばるやま（はっぽんぎ）,1408m,宇目町・北川町
88,たかつごう山,たかつごうやま,1406m,宇目町・北川町
